command,freq
,2
',20
);',3
/,2
},10
}',2
$,2
$(awk,3
$(cat,6
$(echo,8
$EDITOR,4
$(sed,2
$(xclip,3
3s/.*/AAGEGEGA/}',2
a,6
aaaaaa,3
aa-status,3
alias,4
./a.out,5
./app,3
apropos,15
apt,22
(awk,2
awk,736
base64,2
bash,45
bat,8
batcat,64
brand,4
bspwm,3
build-simple-cdd,7
bundle,9
cat,531
cd,688
chmod,16
clear,25
cmake,13
code,3
./name_line_arg.awk,8
compgen,2
./copiedWindow,6
freq-19,2
cp,4
curl,21
-d,3
date,3
deactivate,13
declare,6
diff,12
docker,38
docker-compose,2
domainname,2
-e,9
echo,253
echo_stuff,2
./echo_stuff.sh,2
ed,17
edit,2
env,10
EOF,5
exec,24
./exec-test.sh,7
exit,88
export,16
firejail,10
flask,8
for,16
g++,77
gcc,26
glxgears,2
glxinfo,3
grep,22
guard,6
gzip,5
head,23
./helloTriangle,3
./helloTriangle2,31
./helloWindow,9
history,357
hostname,3
id,3
ip,16
jobs,5
join,4
journalctl,85
l,3
less,6
link,2
ls,1402
lw,3
lxc-ls,2
make,99
man,75
mkdir,67
mknod,2
model,4
more,2
./moretest,3
mv,63
nano,631
neovim,2
netstat,7
nslookup,2
nu,6
nushell,3
nvim,693
./opengl-test,9
-p,3
p,4
passwd,2
pdflatex,6
ping,9
pip,21
print,24
printenv,7
ps,85
pwd,14
python,85
Python,6
python3,160
q,2
qqqqqqqcat,2
quarto,51
r,2
R,68
read,18
rm,56
rnano,4
rover,13
Rscript,59
s,7
s/1/RR/g,6
screendump,2
script,17
sed,235
seq,6
set,12
sh,2
sleep,15
some_var=$(awk,3
source,24
ss,5
strace,20
stuff,2
sudo,719
sudp,2
systemctl,54
systemd,2
tail,21
tar,2
./test,3
test,4
tmux,36
tmuxinator,47
top,2
touch,49
tr,5
tty,2
uname,4
unzip,2
utime,2
uv,33
-v,3
vim,6
wc,14
whatis,31
which,3
who,4
whoami,3
wmctrl,5
xclip,27
xconsole,2
xdg-open,30
xfwm4,3
xonsh,5
year,4
