command,freq
,2
[,1
',20
);,1
);',3
+++,1
/,2
[,1
},10
}',2
$,2
$A,1
$aaa="aaa",1
$(awk,3
$B="LDE",1
$B=LDE,1
$(cat,6
$(echo,8
$EDITOR,4
$envvar,1
$((exp(3)),1
$((exp(3))),1
$PATH,1
$(sed,2
$(seq,1
$(xclip,3
$XDG_SESSION_*,1
0x6a666b742f666c61670,1
{1..5},1
192.168.5.192,1
2*$(seq,1
2*(seq,1
3424,1
3s/.*/AAGEGEGA/}',2
5,1
a,6
A=$(awk,1
A=2,1
aa,1
aaaa=$(pwd),1
aaa="aaa",1
aaaaaa,3
aaaaasudo,1
aaa="bbb",1
aa-audit,1
aaecho,1
aa-enabled,1
aa-features-abi,1
aa-status,3
aasudo,1
./activate,1
activate,1
aegeageag,1
alias,4
ALTER,1
./a.out,5
./app,3
apropos,15
aprops,1
apt,22
A="sudo,1
(awk,2
awk,736
awk_test.txt,1
B=,1
base64,2
bash,45
bat,8
batcat,64
./blah,1
B=".*LDE.*",1
B="LDE",1
B=LDE,1
brand,4
bspwm,3
build-simple-cdd,7
bundle,9
c8d5d93a69ccbde1a3e3b50ae3f56f55a6a047cf0cb37199edcc13951b1645b5,1
cat,531
cc,1
ccc="ddd",1
cd,688
cdls,1
chmod,16
chown,1
class_test.py,1
clear,25
clr,1
cmake,13
code,3
./name_line_arg.awk,8
compgen,2
./copiedWindow,6
freq-19,2
cp,4
CREATE,1
curl,21
-d,3
d,1
date,3
deactivate,13
declare,6
/dev/fd/3,1
diff,12
docker,38
docker-compose,2
domainname,2
-e,9
echo,253
./echo_stuff,1
echo_stuff,2
./echo_stuff.sh,2
echo_stuff.sh,1
echotestvar,1
ed,17
edit,2
env,10
EOF,5
exec,24
./exec-test.sh,7
exi,1
exit,88
exp,1
((exp(3)),1
exp(3),1
((exp(3))9,1
export,16
fg,1
firejail,10
fish,1
flask,8
flask_alchemy.py,1
flflask,1
for,16
FracPy.fraction(2,,1
fraction(2,,1
g++,77
gbls,1
gcc,26
geageg,1
gege,1
general-info.sh,1
./getshader.py,1
getsockopt,1
getwd(),1
git,1
glgears,1
glxdemo,1
glxgears,2
glxheads,1
glxinfo,3
grep,22
guard,6
gzip,5
head,23
./helloTriangle,3
./helloTriangle2,31
./helloWindow,9
history,357
historz,1
hostname,3
hostnamectl,1
htop,1
id,3
import,1
ip,16
ipa,1
ipython,1
jobs,5
join,4
journalctl,85
l,3
la,1
ld,1
less,6
library(ti),1
light-locker,1
link,2
lq,1
ls,1402
LS,1
lw,3
lxc-list,1
lxc-ls,2
lxc-start,1
make,99
man,75
mkdir,67
mkfifo,1
mknod,2
model,4
more,2
./moretest,3
mux,1
mv,63
nano,631
nao,1
nc,1
neovim,2
netstat,7
netstat-nat,1
npm,1
nslookup,2
nu,6
nudoku,1
nushell,3
nvim,693
od,1
./opengl-test,9
-p,3
p,4
passwd,2
paste,1
PATH=${PATH}":/home/someone/testscripts",1
pc,1
pcd,1
pcps,1
pdflatex,6
perl,1
pes,1
ping,9
pip,21
pkg-config,1
./plover-4.0.3-x86_64.AppImage,1
print,24
printenv,7
print(sys.version(,1
print(sys.version),1
proc_devices,1
ps,85
~pwd,1
pwd,14
pytho,1
python,85
Python,6
python3,160
:q!,1
q,2
qq,1
qqqq,1
qqqqqqqcat,2
qqsudo,1
qsudo,1
quarto,51
quarto_info.txt,1
r,2
R,68
read,18
read_sed.txt,1
restapi_test.py,1
rm,56
rnano,4
rover,13
Rscript,59
s,7
s/1/RR/g,6
s/87/QQQQQQ/g',1
s/87/QQQQQQ/g}',1
saeage,1
scp,1
screendump,2
script,17
sed,235
sed-E,1
sed-scripts/,1
selinux,1
seq,6
set,12
sh,2
sleep,15
some_var=$(awk,3
some_var=awk,1
source,24
ss,5
ssh,1
strace,20
stuff,2
su,1
sudo,719
sudp,2
systemctl,54
systemd,2
tail,21
tar,2
./test,3
test,4
timedatectl,1
tmux,36
tmuxinator,47
top,2
touch,49
tr,5
tty,2
ub,1
ufw,1
uname,4
unminimize,1
unzip,2
use_module.R,1
user.dat,1
utime,2
uv,33
-v,3
variable1=$(ls,1
vf,1
vi,1
vim,6
<(wc,1
wc,14
wget,1
what,1
whatis,31
which,3
who,4
whoami,3
wmctrl,5
wwwwcat,1
xclip,27
xconsole,2
xdg-open,30
xfwm4,3
xfwm4-settings,1
xonsh,5
year,4
